                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.4474,                 2.0008,                 1.1475,                 1.1409,                 0.6439,                0.66049,                0.68552,                0.35992,                0.65791,                0.66992,                0.70123,                0.34004,                 1.5542,                 2.0673,                 1.1264,                 1.1917,              0.0017872,              0.0017872,              0.0017872
                     45,                 1.4671,                 2.0245,                 1.1587,                 1.1502,                 0.6449,                0.65789,                 0.6773,                0.36397,                0.65698,                0.64591,                0.66879,                0.32018,                 1.5052,                 2.0854,                 1.1589,                 1.1823,              0.0017822,              0.0017822,              0.0017822
                     46,                 1.4501,                 1.9913,                 1.1374,                  1.149,                0.67417,                0.64715,                0.69188,                0.36618,                0.68836,                0.65821,                0.70217,                0.33658,                   1.54,                 2.1312,                 1.1472,                 1.1894,              0.0017772,              0.0017772,              0.0017772
                     47,                 1.4491,                 1.9821,                 1.1433,                 1.1393,                0.63935,                0.63805,                0.66263,                0.35464,                0.65333,                0.65041,                 0.6793,                0.32931,                 1.5274,                 2.0342,                 1.1557,                 1.1908,              0.0017723,              0.0017723,              0.0017723
                     48,                 1.4539,                 1.9634,                 1.1429,                 1.1474,                  0.667,                0.65072,                0.69456,                0.36964,                0.67902,                0.66016,                0.71092,                0.35431,                 1.5299,                 2.0099,                 1.1376,                 1.1845,              0.0017674,              0.0017674,              0.0017674
                     49,                  1.448,                 1.9726,                 1.1382,                  1.146,                 0.6463,                0.63935,                 0.6725,                0.35875,                0.65649,                0.65693,                0.68361,                0.33435,                 1.5355,                 2.0743,                 1.1481,                 1.1917,              0.0017624,              0.0017624,              0.0017624
                     50,                 1.4519,                 1.9972,                  1.162,                 1.1495,                  0.664,                0.65036,                0.68827,                 0.3659,                0.66738,                0.65708,                0.69121,                0.32578,                 1.5278,                 2.1513,                 1.1566,                 1.1863,              0.0017575,              0.0017575,              0.0017575
                     51,                 1.4294,                 1.9483,                 1.1298,                  1.145,                0.65531,                0.65561,                0.68703,                0.36657,                0.65934,                0.66602,                0.69374,                0.34259,                 1.5348,                 2.0457,                 1.1306,                 1.1919,              0.0017525,              0.0017525,              0.0017525
                     52,                 1.4365,                 1.9501,                 1.1264,                 1.1409,                0.63991,                0.67187,                0.67779,                0.35768,                0.67385,                0.67795,                0.70414,                0.35187,                 1.5527,                 2.0022,                 1.1474,                 1.1941,              0.0017476,              0.0017476,              0.0017476
                     53,                 1.4416,                 1.9476,                 1.1381,                 1.1494,                0.66896,                0.66829,                0.69133,                0.36405,                0.67873,                0.67805,                0.70317,                0.34121,                 1.5597,                 2.1162,                 1.1295,                  1.191,              0.0017426,              0.0017426,              0.0017426
                     54,                 1.4498,                 1.9561,                 1.1196,                 1.1364,                0.65297,                0.67063,                 0.6927,                0.37107,                0.67041,                 0.6865,                0.71124,                0.35352,                 1.5266,                 2.0018,                 1.1256,                 1.1782,              0.0017376,              0.0017376,              0.0017376
                     55,                 1.4063,                 1.9152,                 1.1392,                 1.1267,                0.64369,                0.65041,                0.68011,                0.36379,                 0.6663,                0.66179,                0.70394,                0.34741,                 1.5352,                  1.994,                 1.1516,                 1.1828,              0.0017327,              0.0017327,              0.0017327
