                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 1.4332,                 1.8331,                 1.2285,                 1.1681,                0.71203,                0.65659,                0.72763,                0.40014,                0.72788,                0.66341,                0.73499,                0.37135,                 1.4508,                 1.9584,                 1.0474,                 1.1368,              6.931e-05,              6.931e-05,              6.931e-05
                     33,                 1.4334,                 1.8327,                 1.2193,                 1.1669,                0.71104,                0.65561,                0.72719,                0.40117,                0.72744,                0.66312,                0.73417,                 0.3712,                   1.45,                 1.9595,                 1.0476,                 1.1367,              6.832e-05,              6.832e-05,              6.832e-05
                     34,                  1.428,                 1.8231,                 1.2127,                 1.1631,                0.70911,                0.66081,                0.72833,                0.40161,                0.72986,                0.66179,                0.73517,                0.37126,                 1.4491,                 1.9592,                 1.0462,                 1.1361,              6.733e-05,              6.733e-05,              6.733e-05
                     35,                  1.421,                 1.8188,                 1.2042,                 1.1622,                0.70591,                0.66602,                0.72932,                0.40253,                0.73173,                0.66049,                0.73472,                 0.3711,                 1.4489,                 1.9607,                 1.0449,                 1.1363,              6.634e-05,              6.634e-05,              6.634e-05
                     36,                 1.4189,                 1.8152,                 1.1997,                 1.1658,                0.71138,                0.65821,                0.72975,                0.40278,                0.72411,                0.66569,                0.73589,                 0.3719,                  1.448,                 1.9607,                 1.0438,                 1.1361,              6.535e-05,              6.535e-05,              6.535e-05
                     37,                 1.4216,                 1.8299,                 1.1958,                 1.1614,                0.71094,                0.65827,                0.73052,                0.40312,                0.72426,                0.66504,                0.73658,                 0.3719,                 1.4473,                  1.962,                 1.0428,                 1.1362,              6.436e-05,              6.436e-05,              6.436e-05
                     38,                  1.418,                 1.8006,                 1.1911,                 1.1597,                 0.7121,                0.65636,                0.73145,                0.40397,                0.72787,                0.66407,                0.73781,                 0.3716,                 1.4476,                 1.9626,                 1.0415,                 1.1363,              6.337e-05,              6.337e-05,              6.337e-05
                     39,                 1.4165,                 1.8062,                 1.1855,                  1.157,                0.71144,                0.65951,                0.73139,                0.40458,                0.72361,                0.66579,                0.73662,                0.37127,                 1.4466,                 1.9626,                 1.0407,                 1.1366,              6.238e-05,              6.238e-05,              6.238e-05
                     40,                 1.4171,                 1.8108,                 1.1866,                 1.1584,                0.70988,                0.65951,                0.73083,                0.40363,                0.72465,                0.66309,                0.73587,                0.37121,                 1.4467,                 1.9621,                 1.0405,                 1.1374,              6.139e-05,              6.139e-05,              6.139e-05
                     41,                 1.4118,                 1.8087,                  1.181,                  1.158,                0.71048,                0.66016,                0.73121,                0.40486,                0.72177,                0.66602,                0.73677,                0.37191,                 1.4464,                 1.9606,                 1.0398,                 1.1375,               6.04e-05,               6.04e-05,               6.04e-05
                     42,                 1.4142,                 1.8072,                 1.1739,                 1.1583,                0.70475,                0.67122,                0.73176,                0.40512,                0.72173,                0.66504,                0.73621,                0.37253,                 1.4456,                 1.9609,                 1.0389,                 1.1372,              5.941e-05,              5.941e-05,              5.941e-05
                     43,                 1.4039,                 1.7914,                 1.1626,                 1.1547,                0.69751,                0.67772,                0.73213,                 0.4054,                0.72188,                0.66767,                0.73596,                 0.3729,                 1.4455,                 1.9607,                  1.039,                 1.1375,              5.842e-05,              5.842e-05,              5.842e-05
                     44,                 1.4007,                 1.7824,                 1.1521,                 1.1523,                0.69992,                0.67447,                0.73196,                0.40565,                0.72399,                0.66707,                0.73595,                0.37272,                 1.4448,                 1.9628,                 1.0391,                 1.1374,              5.743e-05,              5.743e-05,              5.743e-05
                     45,                 1.3971,                 1.7997,                 1.1511,                 1.1518,                0.69953,                 0.6748,                0.73256,                0.40617,                 0.7209,                0.66862,                0.73698,                0.37338,                 1.4449,                 1.9621,                 1.0386,                 1.1378,              5.644e-05,              5.644e-05,              5.644e-05
                     46,                 1.3991,                 1.7862,                 1.1511,                 1.1529,                0.69669,                0.67899,                0.73247,                0.40583,                   0.71,                0.68293,                0.73681,                0.37344,                 1.4461,                 1.9622,                 1.0384,                 1.1387,              5.545e-05,              5.545e-05,              5.545e-05
                     47,                 1.3949,                 1.7819,                 1.1422,                   1.15,                0.70188,                 0.6774,                0.73352,                0.40613,                0.71421,                0.68033,                0.73713,                0.37385,                 1.4469,                 1.9615,                 1.0383,                 1.1396,              5.446e-05,              5.446e-05,              5.446e-05
