epoch,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,1.4237,1.9425,1.1224,1.1474,0.6608,0.64585,0.68012,0.36335,0.66072,0.66732,0.69601,0.3384,1.5454,2.0654,1.1478,1.1876,0.0017525,0.0017525,0.0017525
52,1.428,1.9517,1.1194,1.1452,0.66402,0.66146,0.69341,0.37323,0.67936,0.67675,0.7112,0.35326,1.5123,2.0023,1.1157,1.1876,0.0017476,0.0017476,0.0017476
53,1.4292,1.9419,1.13,1.1507,0.65358,0.66016,0.68305,0.35686,0.66323,0.66992,0.69242,0.32822,1.555,2.1117,1.1564,1.196,0.0017426,0.0017426,0.0017426
54,1.4302,1.9354,1.1006,1.1333,0.66399,0.66764,0.69641,0.3735,0.67765,0.68455,0.71674,0.35758,1.5417,1.9839,1.1092,1.1919,0.0017376,0.0017376,0.0017376
55,1.3988,1.9154,1.1408,1.1311,0.66228,0.66472,0.69586,0.37423,0.67588,0.67837,0.71397,0.35866,1.532,1.9939,1.1187,1.1887,0.0017327,0.0017327,0.0017327
56,1.4245,1.9447,1.1061,1.143,0.67939,0.64228,0.69531,0.37102,0.69154,0.65105,0.70627,0.34609,1.521,2.0405,1.126,1.1892,0.0017278,0.0017278,0.0017278
57,1.4096,1.8913,1.0963,1.1364,0.65714,0.66569,0.6896,0.36885,0.67416,0.68293,0.70973,0.35817,1.5363,2.0303,1.1168,1.1867,0.0017228,0.0017228,0.0017228
58,1.4117,1.9109,1.1086,1.135,0.67785,0.64869,0.69325,0.37107,0.69241,0.63577,0.69123,0.32971,1.5265,2.1067,1.128,1.198,0.0017179,0.0017179,0.0017179
59,1.4183,1.9255,1.0966,1.1422,0.67326,0.64976,0.69358,0.37254,0.68101,0.65724,0.70223,0.34191,1.5247,2.0858,1.1104,1.1807,0.0017129,0.0017129,0.0017129
60,1.4174,1.9379,1.1042,1.1298,0.67021,0.65593,0.68584,0.36939,0.67935,0.6711,0.70204,0.36147,1.5212,1.9729,1.1355,1.1822,0.001708,0.001708,0.001708
61,1.4259,1.944,1.1229,1.1476,0.65635,0.66472,0.68517,0.35992,0.66765,0.68488,0.71326,0.35816,1.5688,1.9751,1.1595,1.1956,0.001703,0.001703,0.001703
62,1.4082,1.8915,1.0882,1.1344,0.65843,0.68065,0.70029,0.38203,0.66716,0.69171,0.70825,0.35216,1.4953,2.006,1.1078,1.1816,0.001698,0.001698,0.001698
63,1.4024,1.8942,1.0847,1.1271,0.6521,0.6638,0.69839,0.37143,0.66424,0.67616,0.70855,0.34918,1.5241,2.0424,1.1183,1.1779,0.0016931,0.0016931,0.0016931
64,1.4193,1.8898,1.1017,1.1448,0.67437,0.66205,0.69834,0.36909,0.68795,0.67538,0.71544,0.35527,1.546,2.0183,1.1313,1.193,0.0016882,0.0016882,0.0016882
65,1.4192,1.9102,1.0988,1.1318,0.6772,0.6722,0.71053,0.38361,0.69185,0.68342,0.72431,0.36344,1.4985,1.9664,1.0964,1.1693,0.0016832,0.0016832,0.0016832
66,1.4053,1.904,1.1004,1.1257,0.65361,0.67935,0.69415,0.37378,0.66918,0.6865,0.71061,0.3562,1.5245,2.0043,1.1175,1.1698,0.0016783,0.0016783,0.0016783
67,1.3928,1.8683,1.087,1.1282,0.67122,0.6452,0.68219,0.36652,0.67978,0.65691,0.69385,0.34728,1.5087,1.9866,1.1315,1.1813,0.0016733,0.0016733,0.0016733
68,1.4119,1.9086,1.0988,1.1328,0.68114,0.65926,0.70603,0.38476,0.68625,0.66569,0.70511,0.34466,1.4865,1.9713,1.1186,1.1692,0.0016684,0.0016684,0.0016684
69,1.3986,1.8786,1.0867,1.1293,0.66114,0.68844,0.7142,0.38347,0.67969,0.68911,0.72753,0.36678,1.5124,1.9623,1.099,1.1765,0.0016634,0.0016634,0.0016634
70,1.398,1.8923,1.0811,1.1291,0.66497,0.68354,0.70883,0.37562,0.67859,0.68846,0.71542,0.35549,1.5301,2.0053,1.1002,1.1818,0.0016585,0.0016585,0.0016585
71,1.3851,1.8927,1.0744,1.1259,0.64556,0.66699,0.69037,0.36968,0.65555,0.67122,0.6961,0.3374,1.5194,2.0827,1.1534,1.1709,0.0016535,0.0016535,0.0016535
72,1.4021,1.9014,1.0742,1.1277,0.65905,0.67512,0.69626,0.379,0.67058,0.67787,0.7036,0.35811,1.5126,1.9702,1.1008,1.1765,0.0016485,0.0016485,0.0016485
73,1.3986,1.8866,1.0894,1.1288,0.6904,0.66569,0.71065,0.37867,0.70323,0.6826,0.73063,0.37307,1.5338,1.9238,1.0893,1.1779,0.0016436,0.0016436,0.0016436
74,1.3804,1.8961,1.0648,1.1196,0.66672,0.67852,0.70361,0.37997,0.68484,0.69041,0.72163,0.35892,1.5202,1.9912,1.0803,1.1825,0.0016386,0.0016386,0.0016386
75,1.4031,1.8892,1.066,1.1288,0.67826,0.67967,0.70818,0.3859,0.68864,0.69008,0.71674,0.35686,1.5102,1.9864,1.0897,1.1778,0.0016337,0.0016337,0.0016337
76,1.3995,1.8925,1.0619,1.122,0.6688,0.67573,0.69775,0.38203,0.67781,0.6839,0.70564,0.35532,1.5093,2.0158,1.1041,1.174,0.0016287,0.0016287,0.0016287
77,1.3901,1.8692,1.0755,1.1224,0.65747,0.68787,0.71404,0.38192,0.66773,0.69928,0.72186,0.34661,1.5268,2.062,1.1054,1.1822,0.0016238,0.0016238,0.0016238
78,1.3792,1.8668,1.061,1.1203,0.65705,0.66504,0.69297,0.37181,0.67587,0.67545,0.70988,0.35042,1.5379,2.0463,1.1187,1.1832,0.0016189,0.0016189,0.0016189
79,1.4084,1.9061,1.0808,1.1318,0.68842,0.66175,0.7033,0.38498,0.6979,0.66699,0.71069,0.362,1.4882,1.9082,1.1003,1.1706,0.0016139,0.0016139,0.0016139
80,1.3671,1.8283,1.0416,1.1177,0.66859,0.65869,0.69138,0.37652,0.68062,0.6787,0.71305,0.36664,1.511,1.8863,1.1059,1.1737,0.0016089,0.0016089,0.0016089
81,1.3668,1.8521,1.0484,1.1159,0.68416,0.67057,0.70873,0.38413,0.68831,0.67577,0.71317,0.34842,1.5019,2.0733,1.0961,1.1733,0.001604,0.001604,0.001604
82,1.3671,1.8613,1.0469,1.1099,0.66737,0.67805,0.71091,0.38494,0.67553,0.68683,0.71862,0.35419,1.5071,2.0057,1.0961,1.1728,0.0015991,0.0015991,0.0015991
83,1.3856,1.8624,1.0629,1.1196,0.70219,0.65301,0.70586,0.37923,0.70687,0.65951,0.70875,0.34481,1.5076,2.0369,1.0996,1.1786,0.0015941,0.0015941,0.0015941
84,1.3891,1.8823,1.0659,1.1347,0.6797,0.67079,0.70614,0.38585,0.68206,0.67447,0.70914,0.34951,1.4977,1.9805,1.0931,1.1724,0.0015892,0.0015892,0.0015892
85,1.3658,1.8561,1.043,1.1126,0.67033,0.6705,0.69729,0.37891,0.67358,0.67375,0.69784,0.33855,1.5131,2.0736,1.1004,1.1841,0.0015842,0.0015842,0.0015842
86,1.3752,1.9039,1.0678,1.1243,0.67038,0.66469,0.70076,0.37265,0.68784,0.67415,0.72095,0.36427,1.5305,1.9414,1.1134,1.1882,0.0015793,0.0015793,0.0015793
87,1.3717,1.8745,1.0653,1.1196,0.6809,0.66131,0.71114,0.38645,0.68903,0.67086,0.71363,0.34886,1.4976,2.0523,1.093,1.1712,0.0015743,0.0015743,0.0015743
88,1.3866,1.8599,1.057,1.1176,0.67407,0.67805,0.7055,0.38644,0.68312,0.68715,0.71287,0.36237,1.4789,1.9718,1.094,1.1655,0.0015693,0.0015693,0.0015693
89,1.3717,1.8575,1.0639,1.1176,0.69733,0.66894,0.71154,0.38996,0.70652,0.68065,0.72638,0.36378,1.4805,1.9827,1.0772,1.1694,0.0015644,0.0015644,0.0015644
90,1.3656,1.8809,1.0411,1.1151,0.68479,0.67024,0.70696,0.38247,0.68863,0.68228,0.7155,0.36226,1.5103,1.9695,1.0928,1.1705,0.0015594,0.0015594,0.0015594
91,1.3594,1.8392,1.0413,1.1083,0.68168,0.67412,0.70848,0.39139,0.69094,0.68163,0.71558,0.3619,1.4728,1.9613,1.0793,1.1598,0.0015545,0.0015545,0.0015545
92,1.3475,1.8355,1.0413,1.1161,0.68585,0.67447,0.71777,0.38909,0.6944,0.68065,0.72499,0.35939,1.4796,1.9381,1.0727,1.1708,0.0015496,0.0015496,0.0015496
