                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                  1.488,                 2.0698,                 1.1916,                 1.1496,                0.64576,                0.65854,                0.67205,                0.34411,                0.66775,                0.67642,                0.70164,                0.35311,                 1.6195,                 1.9815,                 1.1721,                 1.1817,              0.0018119,              0.0018119,              0.0018119
                     40,                 1.4952,                 2.0417,                 1.1993,                 1.1327,                0.66317,                0.64475,                0.67607,                0.35323,                0.67053,                0.65191,                0.67839,                0.32505,                 1.5455,                  2.069,                 1.1665,                 1.1567,              0.0018069,              0.0018069,              0.0018069
                     41,                 1.4832,                 2.0126,                 1.1915,                 1.1359,                0.66681,                0.63447,                0.67841,                0.35049,                0.67343,                0.65041,                0.69196,                0.33063,                 1.5852,                 2.1312,                 1.1945,                 1.1618,               0.001802,               0.001802,               0.001802
                     42,                 1.5007,                 2.0464,                 1.1995,                 1.1408,                0.64143,                0.64585,                0.66337,                  0.353,                0.64332,                0.66081,                0.66908,                0.31115,                 1.5401,                 2.1531,                 1.1798,                 1.1624,              0.0017971,              0.0017971,              0.0017971
                     43,                 1.4803,                 2.0306,                 1.1761,                 1.1289,                0.62595,                0.66732,                0.65632,                0.34754,                 0.6459,                0.68455,                0.68033,                0.34198,                 1.5708,                 1.9984,                 1.1978,                 1.1643,              0.0017921,              0.0017921,              0.0017921
                     44,                 1.4755,                  2.028,                 1.1794,                 1.1282,                 0.6803,                0.63642,                0.69721,                0.36083,                0.68845,                0.64683,                0.70557,                  0.336,                 1.5681,                 2.1271,                 1.1417,                 1.1701,              0.0017872,              0.0017872,              0.0017872
                     45,                 1.4965,                  2.049,                 1.1867,                 1.1378,                0.65393,                0.62992,                0.66674,                0.35737,                0.67729,                 0.6348,                0.67872,                0.32573,                 1.5317,                 2.0864,                 1.1801,                 1.1524,              0.0017822,              0.0017822,              0.0017822
                     46,                 1.4832,                 2.0249,                 1.1735,                 1.1347,                0.65993,                0.63577,                0.67664,                0.35198,                0.67495,                0.64757,                0.69276,                 0.3326,                 1.5632,                 2.1326,                 1.1922,                 1.1676,              0.0017772,              0.0017772,              0.0017772
                     47,                 1.4786,                 2.0093,                 1.1752,                 1.1246,                0.64547,                0.65956,                0.67953,                0.36036,                 0.6772,                0.66042,                0.69321,                 0.3438,                 1.5465,                 2.0681,                  1.154,                 1.1589,              0.0017723,              0.0017723,              0.0017723
                     48,                  1.479,                 2.0016,                 1.1792,                 1.1287,                 0.6676,                0.63095,                0.68507,                0.35593,                0.68366,                0.64293,                0.70274,                0.34275,                 1.5604,                 2.0485,                 1.1842,                 1.1545,              0.0017674,              0.0017674,              0.0017674
