                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.4951,                 2.0253,                 1.2369,                  1.209,                  0.621,                0.61951,                0.63578,                0.34279,                 0.6351,                0.63053,                0.64984,                 0.3218,                 1.5669,                 2.0035,                 1.1992,                 1.2125,              0.0016832,              0.0016832,              0.0016832
                     34,                 1.4787,                 1.9757,                 1.1965,                 1.2007,                0.64635,                0.61814,                0.65751,                0.34249,                0.65604,                0.63089,                0.67235,                0.32257,                 1.6217,                 2.0221,                 1.1792,                  1.235,              0.0016733,              0.0016733,              0.0016733
                     35,                 1.4749,                 1.9813,                 1.2002,                 1.1868,                0.65758,                0.62472,                0.65977,                0.35606,                0.67175,                0.64221,                0.67607,                0.33956,                 1.5469,                 1.9736,                 1.1715,                 1.2005,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.4592,                 1.9971,                 1.1793,                 1.1764,                0.65572,                0.62959,                0.66308,                0.34231,                0.67123,                0.64813,                0.68269,                0.33493,                 1.6056,                 2.0441,                 1.1772,                 1.2241,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.4819,                 2.0101,                 1.2233,                 1.1942,                0.64101,                0.64813,                0.66832,                0.36187,                0.66046,                0.66295,                0.68546,                0.33404,                 1.5415,                  1.919,                 1.1689,                 1.2032,              0.0016436,              0.0016436,              0.0016436
                     38,                  1.473,                 1.9747,                 1.2038,                 1.1814,                0.64338,                0.63363,                0.66459,                0.35942,                 0.6586,                0.65984,                0.68424,                0.34911,                 1.5306,                  2.048,                  1.175,                 1.2068,              0.0016337,              0.0016337,              0.0016337
                     39,                 1.4558,                 1.9711,                 1.1763,                 1.1813,                0.65544,                0.63935,                0.67101,                0.36137,                 0.6705,                0.64943,                0.68432,                 0.3343,                  1.529,                 1.9346,                 1.1668,                 1.1904,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.4544,                 1.9789,                 1.2025,                 1.1774,                0.65539,                   0.64,                0.67352,                0.35524,                0.67104,                0.64346,                0.68159,                0.33051,                 1.5687,                 1.9159,                  1.174,                  1.213,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.4824,                 1.9723,                 1.1974,                 1.1869,                0.62743,                0.60737,                 0.6388,                0.33466,                0.65291,                0.61528,                0.65203,                 0.3159,                 1.5471,                  2.061,                  1.222,                 1.2034,               0.001604,               0.001604,               0.001604
                     42,                 1.4654,                  1.979,                 1.2038,                  1.182,                0.66137,                0.63008,                0.67716,                0.35974,                0.67838,                 0.6413,                0.68985,                0.32957,                 1.5418,                 1.9194,                 1.1519,                 1.1976,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.4408,                 1.9391,                 1.1601,                 1.1712,                0.65672,                 0.6322,                0.67659,                0.36379,                0.67361,                0.64846,                 0.6932,                0.35231,                 1.5458,                 2.0031,                 1.1428,                 1.2047,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.4603,                 1.9511,                 1.1628,                 1.1814,                0.64501,                0.61919,                0.66052,                0.35529,                0.64872,                0.63122,                0.66864,                0.32446,                 1.5498,                 1.9145,                 1.1631,                 1.2087,              0.0015743,              0.0015743,              0.0015743
                     45,                 1.4358,                 1.9306,                 1.1673,                 1.1746,                0.64492,                0.64026,                0.66805,                0.35319,                0.66406,                0.64683,                 0.6776,                0.32848,                 1.5647,                 1.9515,                 1.1422,                 1.2025,              0.0015644,              0.0015644,              0.0015644
                     46,                 1.4501,                 1.9647,                 1.1569,                 1.1747,                0.67374,                0.63528,                0.68358,                0.36979,                0.68465,                0.64673,                0.69159,                0.34619,                 1.5051,                 1.9432,                 1.1397,                 1.1936,              0.0015545,              0.0015545,              0.0015545
